Position,Move,Depth,Score
1k1rr3/ppp1p3/3pp3/7b/3PQ1nP/2P5/P1P1PPP1/R2K1RBB b KQ - 4 16,g4f6,20,+812
6Q1/8/8/b7/ppp3PP/k3P3/P1K5/8 w - - 0 39,g8c4,16,#+12
r3r1bb/1kq4p/2np1pp1/p1n1pPP1/1p2P3/2P1BQN1/PPN4P/1K1RR2B w - - 0 16,d1d5,50,33
r1qbbkr1/ppp1pppp/2n3n1/3p4/3P4/4P1N1/PPP2PPP/RNQBBKR1 w KQkq - 1 4,c2c4,50,+59
r1nk1brq/pppp1bpp/2n2p2/4p3/6P1/1NBP4/PPP1PP1P/RN1K1BRQ w KQkq - 2 5,f1g2,50,0
r5k1/p1q2nbp/1p3np1/8/2Pp1p2/1P4P1/PB2Q2P/3RR1K1 w - - 0 23,b2d4,30,-226
qr2kr2/p1b1pppp/1p3nn1/1Pp5/4P3/5P2/PB1PNNPP/QR2KR2 w KQkq - 1 11,g2g3,50,+19
1k3r2/2p5/1pB2b2/5ppp/2pP1P2/pqP3P1/1P2R2P/1K2R1B1 w - - 2 25,e2d2,30,-399
r3qkbr/ppb2np1/1np1p2p/3pP3/3P1P2/1PPB2Q1/P5PP/R1NN1KBR w KQkq - 2 11,h2h4,30,+301
6q1/r7/1pkp2pR/2p1n3/4PnP1/P1B5/1PP2N2/1K1R4 w - - 3 30,g4g5,20,-435
r1bbkq1r/p1pp2pp/1p2pnn1/8/4PP2/2N2BP1/PPP4P/R1B1KQNR b KQkq - 1 8,c8b7,40,+182
3k4/2b5/6Q1/qPp2p2/K1P4p/P2p3P/2r2P2/1R6 w - - 4 40,a4b3,1,#-2
6rn/PQpk1b1p/2p1p1p1/2p1bp2/2q4B/2P5/1P1P3P/1RK5 w - - 1 27,h4g5,20,-664
rk3r1q/ppp1b1n1/2np1pp1/7p/3NPP1P/1PP1N1P1/1PKB4/R5RQ b q - 0 16,c6d4,40,206
2rk1r2/pb1pp1p1/1p2p1B1/8/2P2n2/1P6/P3PPP1/B2R1RK1 w kq - 2 17,d1d7,30,-323
r1knbbrn/pp2pppp/8/8/8/2N5/PP1PPPP1/RQK1BN2 b Qkq - 0 7,h8g6,30,+395
q1krr1b1/1ppp2b1/7p/p3PBpn/P2P1N2/2P5/1P1N3B/Q1KRR3 b - - 0 21,h5f4,50,+53
b5k1/np1qnp1p/p2p2p1/P2P4/1P1B4/6P1/2B1QP1P/5RK1 w - - 1 24,f1e1,20,+683
q2rnkrn/pb1p3p/1p2p3/2p1Np2/2P5/1P4N1/PQBP1PPP/1R3KR1 w KQk - 4 11,b1e1,50,0
rb4k1/pp1q1ppp/2pP3r/8/3PNNbn/BP2P1P1/P1B2K2/2RQ4 b - - 4 24,g4d1,20,-624
8/p5qk/4Q1p1/1P2pP2/7P/4P1K1/8/8 b - - 0 44,g6f5,50,0
rkr1b3/p1q2ppp/1p1p4/2pQb3/8/6N1/PPPB1PPP/RKR2B2 w KQkq - 0 13,f1a6,20,+438
5r2/1P3r2/4p1p1/4P3/2pkp1P1/8/4KP1R/1R6 b - - 0 43,f8b8,20,-411
nq2rrk1/p1b1p2p/1p1pQ3/2pPn3/2P2P2/1NB5/PP2B1PP/2R2RK1 b - - 4 15,g8h8,20,1034
n1bbrknr/p1pppppp/8/1q6/8/8/PP1PPPPP/NQBBRKNR w KQkq - 0 3,g1f3,50,-21
3b1nk1/p5p1/1p1Pp2p/4P3/3B4/5qP1/PP4P1/6K1 w - - 0 30,g2f3,30,-471
rk1bnqrn/pp4pp/2pp4/4pb2/3P4/1Q3B2/PPP2PPP/RKB1N1RN b KQkq - 1 6,e5e4,50,+23
1b3rk1/5bp1/1qp1p1np/5p2/3PpP2/1N2P3/2B1Q1PP/4BRK1 w - - 0 21,e1a5,50,-27
1k1r2r1/pp6/1bb1p1n1/3q1p1p/2QP4/1P3P2/PP1B1N1P/R2R1KN1 b - - 2 24,c6b5,20,-668
b1q2br1/p3kppp/3p4/3Pp3/1rP1N3/Q7/3NBPPP/3RK1R1 w KQ - 0 17,a3b4,20,+957
5b2/2kn1b1p/1pp2p2/p3pP2/4P2P/1PPNB3/P2KB3/8 w - - 0 35,h4h5,50,0
n1krnbbq/prppp1pp/Bp3p2/8/4P3/1N6/PPPP1PPP/1RKRN1BQ w KQk - 2 4,f2f4,40,+140
3rr3/1p2n1bk/2pp1pp1/1p6/3PP2P/2K1B1PB/PP6/3R1R2 w - - 0 31,d1e1,50,8
2r5/pr5k/6p1/5p2/1bP1pPpP/8/1q1PQ3/3RKR2 w - - 0 36,e1f2,20,-697
rnq1bkr1/ppb1pppp/2p3n1/8/3Pp3/2P3N1/PPB2PPP/RNQ1BKR1 w KQkq - 0 6,g3e4,50,0
1qr1r3/1p4kp/1n1p4/p1pPNp2/2Pb1p1P/1P1P4/P4PP1/1QR2KR1 b KQ - 1 19,d6e5,20,-631
1rk3q1/pp2R1pp/2p2p2/2Nb1P2/5Q2/3B2P1/PPP4P/2K5 b q - 0 20,g8d8,20,+984
2qbrrk1/pp2p1p1/2p1Nn1p/4P3/1n1P4/8/PB3PPP/NQ2RRK1 b - - 0 13,c8e6,50,-32
b1k2r1r/p2pqp1p/1p1n2p1/7n/1pP1P3/3P1NP1/P2QNR1P/2R1K2B w - - 0 15,c4c5,30,381
8/4bk2/7q/4p3/P1PpP3/3P1P1p/6P1/6K1 w - - 0 33,g2h3,17,#-14
