Position,Move,Depth,Score
r1k1r3/ppp2p2/2bp2p1/7p/7P/2PBnP2/PP6/R1K2R2 w KQq - 1 29,f1f2,10,-4656
b1rkrbq1/ppp2ppp/2n3n1/1B1pp3/4P3/1P3P2/P1PP1NPP/BNRKR1Q1 b KQkq - 1 5,a7a6,19,63
2k3n1/p1prb1P1/1p1p4/3qn2Q/8/2P1P3/PP1PN3/R1KNB1R1 w - - 1 26,h5h7,10,2661
rnbkn1r1/pp2pp1p/2p5/3pq3/6p1/1P1PB1PP/P1RKPPB1/4N1RQ w kq - 6 13,h3g4,19,14
5r2/p6P/1pk2N2/2n2R2/8/1PP5/P1K2P2/8 w - - 1 42,f6g8,10,4222
1brq1rk1/p3nbpp/1p3p2/2p1pP2/4NnPP/1P1P4/PBP3Q1/NB2R1KR w K - 3 16,g2g3,10,-512
r2krbq1/ppp1pppp/2n3n1/8/3PR3/2P5/PP3PPP/RNBK1BQ1 b Qkq - 0 7,f7f5,19,50
r7/kp4Rp/p1pqr3/3p3P/3P2N1/2P2P2/PP1B2P1/2KR3Q b - - 0 21,a8e8,9,4306
rkb1nnrq/ppp2ppp/3p1b2/4P3/4P3/2P5/PP3PPP/RKBBNNRQ b KQkq - 0 4,d6e5,19,12
8/1kp5/p1rq1rpp/1p6/P2pP3/1P1P2P1/1KPQ3P/R7 w - - 1 34,a4b5,10,-1299
3k2br/p2pp1p1/1p3np1/8/3P3p/5P1P/PP2P1P1/2NK3R b Kk - 0 15,g8c4,10,-3350
1q2rk2/3p1p1p/1n4p1/1p6/2PR4/1P4P1/2Q2P1P/5K1R w - - 0 21,f1g2,13,321
6b1/1k6/4npp1/3p4/B2P1n1p/1rr1NP2/1R4PP/1R3NK1 w - - 0 37,a4b3,10,3422
qbrnknbr/pppp2pp/4pp2/8/8/1P3P2/P1PPP1PP/QBRNKNBR w KQkq - 0 3,d2d4,18,54
nrbkqrnb/ppp2ppp/3p4/4p3/8/3P2P1/PPP1PP1P/NRBKQRNB w KQkq - 0 3,f2f4,19,98
1bnrbkqr/ppn3pp/2p2p2/2Ppp3/3P4/1P3PB1/P3P1PP/NBNR1KQR b KQkq - 1 6,h7h5,19,-81
r7/3n1pk1/8/5NP1/8/2b2b1K/7P/q7 b - - 0 49,g7f8,6,#-5
