Position,Score,Move
4r2k/pppb3r/1n2p1PK/8/2P4B/1PN5/P7/3R4 w - - 0 31,#+6,g6h7
2r5/8/3R2pk/5p2/p1B2P2/1P4P1/P4KP1/3R4 b - - 1 33,#+37,c8c7
1r3rk1/pb3ppp/5p2/b1p2N1Q/8/1Pq1p1P1/P1P2P1P/1RK3R1 b - - 5 20,#-9,c3d2
kr5b/1n2pp1p/6p1/1bp5/1P2Q3/pPq1B1P1/P4P1P/R2K2RB b - - 2 24,#-6,b8d8
3R4/6nk/1R6/1P4K1/8/7P/1r3r2/8 b - - 3 52,#-6,f2f5
Q4nrb/2ppk2p/4p3/6p1/5PP1/1PqR2NP/P3KP2/4n1RB b - - 0 19,#-2,c3d3
7Q/8/5B2/8/3P1R2/1PKP4/5P2/5k2 b - - 4 53,#+9,f1g2
6k1/4np2/1p3p1p/3b4/1r4BP/4b1PK/3pP3/8 b - - 1 45,#-4,d2d1q
8/pk3R1p/1pn5/2r5/8/8/KPP3r1/8 b - - 7 41,#-30,b7a6
2r1k1br/1pp5/1p2P1q1/3P3p/2P5/7B/P5PP/2QR1R1K w k - 0 31,#+14,c1a3
r6r/ppq2p1k/2p2b2/4pNp1/2BP1pQp/P1P5/1P3P2/R3R1K1 w - - 0 22,#+16,g4h5
2k5/p4p2/1p6/7p/3pp3/1P1N1bqP/P1P5/B5K1 w - - 2 33,#-2,g1f1
8/1kp4p/1pbr2p1/4B3/2Q4P/PKR3P1/Pr6/8 w - - 13 36,#+27,b3b2
R4bk1/2p2p2/3p3p/6pN/6KP/6P1/5r2/8 b - - 0 36,#-2,f7f5
1k3r2/pp6/2p5/3n3p/4p2P/P4qPQ/2P2r2/1R1R2K1 b - - 10 35,#-21,b8a8
8/5P2/8/1R6/6P1/p1P5/KPk5/1r6 w - - 0 46,#+21,f7f8q
6k1/pb4rn/1p2p1r1/4P3/3p1P2/1P1P2N1/P4R1K/4NR2 b - - 7 35,#-2,g6h6
8/1p6/1kp5/3Q1Q1p/p2P1P1P/2P5/PP1K4/8 b - - 0 39,#+23,c6d5
8/1N5p/8/5ppk/5P2/4Q1P1/7P/5B1K w - - 0 44,#+8,e3e8
8/8/1k1r4/7p/p5p1/1p6/3p4/1R1K4 b - - 1 62,#-46,g4g3
r1N3bb/pk1p1p1p/6p1/8/4n3/8/PPPPQPPP/RKR2NBB w KQ - 3 12,#+23,e2e4
8/8/8/2k5/2R5/1P1P2P1/P1P4P/1K6 b - - 2 44,#+18,c5d6
4N3/kp5p/p2QP3/8/5qP1/P7/1PP5/2K1R3 w - - 0 40,#+12,d6f4
